datum,,hex,,,,leg curls,,,,leg ext,,,,calv raises ,,,bauch,,,,
14.03.26,,180/8,180/8,,liegen,wa:75,100/8,100/5,,70/,,,,200/8,"210/9,5",,,,,,
18.03.26,,"187,5/8 0-1rir","187,5/6",,liegen,wa:75,"102,5/8","102,5/5",,"72,5/8","72,5/6",,,210/8,20/8 0rir ,,100/8,125/10,,,
22.03.26,,190/8,190/6,,liegen,wa:75,105/7,"105/4,5",,75/8,75/5,,,210/8,210/8 0rir ,,125/8,"125/6,5",,,
25.03.26,,"192,5/8","192,5/6 0-1 rir",,liegen,wa:75,"105/7,5","105/4,5",,75/8,"75/6,75",,,215/8,"215/6,5",,"127,5/8","135/8,5",,,
29.03.26,,195/8,195/7,,sitzen,wa:75,"105/7,5","105/5,5",,"77,5/6","77,5/4",,,215/8,215/8 0rir,,140/8,145/8 1rir,,,
06.04.26,,"197,5/8","197,5/7",,sitzen,wa:75,105/8,"105/6,5",,"77,5/7","77,5/5",,,215/8,215//9,,"147,5/8 0rir ","147,5/6,5",,,
10.04.26,,200/7,200/6,,liegen,wa:75,105/8 0rir ,105/5,,"77,5/8","77,5/6",,,"220/7,5",220/6,,150/8 0rir ,"150/5,5",,,
15.03.26,,200/8,200/6,,liegen,wa:75,100/8,100/10,,"77,5/8","77,5/6",,,220/8 1rir ,"220/6,5",,"152,5/8 0rir ","152,5/5",,,
24.03.26,,200/8,200/6,,sitzen,wa:75,"107,5/6,5","107,5/5,5",,"77,5/8","77,5/7",,,225/7,225/5,,"152,5/7","152,5/4,5",,,
28.04.26,,,,,sitzen,wa:75,"107,5/7,5","107,5/6,5",andere maschi,"80/5,5",80/4,,,225/7,"225/5,5",,"152,5/8","152,5/6",,,
03.04.26,,,,,sitzen,wa:75,"107,5/8 0rir","107,5/5,5",andere maschi ,80/6,80/5,,,225/8 0rir ,"225/6,5",,155/8,155/5,,,
06.05.26,,,,,sitzen,wa:75,"110/7,5",110/5,,80/7,80/5,,,225/8,225/6,,"157,5/8","157,5/6,5",,,
10.05.26,,,,,sitzen,wa:75,110/8 0rir ,110/6,,80/8,80/7,,,"227,5/8","227,5/6,5",,160/8,160/7,abd,80/8,85/8
13.05.26,,,,,sitzen,wa:75,110/8 0rir,"110/6,5",,"82,5/6","82,5/5",,,230/7,230/6,,"162,5/12????","167,5/6,5",,90/8,"95/6,5"
