datum,,,incline cp,,,,chest fly,,,,,,lat raises,,,,tri pd,,,,bp (maschine),,
,,,1.,2.,3.,,1.,2.,3.,,,,1.,2.,3.,,1.,2.,3.,,1.,2.,3.
12.10.25,,,wa:70,100/8,"100/5,5",,"87,5/8","87,5/5,5",,,,,30/8,30/8 0rir ,,Overhead ,75/8,"77,5/8 1rir",,bauch ,55/8,55/8 0rir ,
16.10.25,,,wa:70,100/6,"100/5,5",,"87,5/8","87,5/7",,,,schmerzen ,30/8,30/8,,overhead ,80/8,80/7,,,55/8,55/7,
20.10.25,,,wa:70,100/8,"100/5,5",,90/7,90/5,,,,links noch bischen schmerzen ,"30/7,5","30/7,5",,overhead ,80/8,80/7,,,55/8,55/8 1-2rir ,
24.10.25,,,wa:70,100/8,100/6,,"90/7,5",90/5,,,,wird besser,30/8,30/8,,overhead ,80/8,80/8,,,"57,5/8","57,5/6",
28.10.25,,,wa:80,100/8,100/5,,90/7,90/5,,,,wieder gut,30/8,30/8,,overhead ,"82,5/8","82,5/8 0rir ",,,"57,5/8","57,5/6",
03.11.25,,,wa:60,100/8,"100/5,5",,90/8,90/7,,,,Alles normal,30/8,30/8,,,80/8,"87,5/7",,,"57,5/8","57,5/8 2rir",
07.11.25,,,wa:70,100/8,100/6,,"90/6,5","90/4,5",,,,,30/8,30/8,,,85/8,"87,5/6",,,60/8,60/5,
11.11.25,,bench,wa:70,80/6,70/8 1rir ,,90/8,"90/6,5",,,,nächstes mehr,30/8,30/8,,,"87,5/5",85/7,,,60/8,60/7,
15.11.25,,,wa:80,100/8,"100/4,5",,90/8,"90/5,5",,,,,"31,25/8","31,25/6",,,85/8,"87,5/5,5",,,60/8,"62,5/7",
19.11.25,,,wa:70,100/8,"100/5,5",,90/8,"90/4,5",,,,,"31,25/8","31,25/8 0rir ",,,"87,5/8","87,5/5",,,,,
23.11.25,,,wa:60,100/8,"100/5,5",,90/8,"90/4,5",,,,,"31,25/8","31,25/8 1rir ",,,"87,5/8","87,5/5",,,"62,5/8","62,5/7,5",
27.11.25,,smith,80/8,80/8,"82,5/6",,90/8,90/8 1rir ,,,,,"31,25/8","31,25/7",,1. seil oh 2. pd ,65/6,75/7,70/8 0rir ,,"62,5/8","62,5/6",
01 12.25,,smith,80/8,80/8,80/6,,"92,5/","92,5/7",,,,,"32,5/7",30/8,,seil overhead,"62,5/6",60/6,"57,5/5",,"62,5/8","62,5/7",
05 12 25,,,wa:60,80/8,80/7,,"92,5/8","92,5/5,5",,,,,"32,5/8","32,5/5",,seil overhead ,"62,5/5,5","57,5/7",,,"62,5/8",,
09.12.25,,,wa:70,100/8,"100/6,5",,"92,5/8","92,5/7",,,,row attachment,"32,5/8",35/8 0rir ,,,60/7,55/9 0rir,,,"62,5/8","62,5/6",
13.12.25,,smith,wa:70,80/8,80/6,,"92,5/7,5","92,5/4,5",,,,same,"32,5/8",35/8 1rir ,,overhead,80/8,"87,5/6,5",,,"62,5/8","62,5/7,5",
17.12.25,,,wa:60,80/8,80/6,,"92,5/8","92,5/5,5",,,,same,35/8,35/8 1rir ,,,85/8,90/5,,,65/8,65/,
21.12.25,,,wa:60,"80/7,5",80/5,,"92,5/8","92,5/5",,,,,34/8,35/8 1rir ,,,85/8,"87,5/7",,,65/8,65/,
cut Ende,,,,,,,,,,,,,,,,,,,,,,,
25.12.25,,smith,wa:50,80/8,80/6,,"92,5/8","92,5/6",,,,,35/8,35/8 1rir ,,,85/8,"87,5/7",,,65/8,65/,
29.12.25,,smith,wa:60,80/8,85/6,,"92,5/8","95/5,5",,,,,35/8,"37,5/5,5",,,"87,5/8","87,5/6",,,65/8,"65/4,5",
02.01.26,,smith ,wa:65,85/8,"87,5/5",4.,"92,5/8","97,5/7",,,,2.,"37,5/8","37,5/7,5",,3.,"87,5/8","92,5/8",,,65/8,65/6,
06.01.26,,smith,wa:70,85/8,"87,5/4,5",wenig pause,95/8,"97,5/4,5",,,,hanteln,16s/8,16s/8,,hanteln,18s/6,16s/7,,,65/,,
10.01.26,,hantel,wa:30s,36/8,36/6,,"97,5/6,5","97,5/4,5",,,,,"37,5/8","37,5/5,5",,,"92,5/8","92,5/6",,,65/8,"67,5/5",
14.01.26,,smith,wa:70,"87,5/8","87,5/5,5",,"97,5/7","97,5/5",,,,,"37,5/8","37,5/6,5",,,95/5,"92,5/6",,klimmzug ding,bw/8,"bw/7,5",
18.01.26,,hantel,wa:30,36/8,36/7,cable fly,35/8 0rir ,35/5,,,,2.,"37,5/8 0rir ","37,5/6,5",,3.,95/8 0rir ,95/5,,,"67,5/",,
22.01.26,,smith,wa:70,"90/5,25","87,5/5",,"97,5/8","97,5/4,5","""lowr chest""",80/6,"72,5/6",Neuer turm,"37,5/8","37,5/7,5",,,"95/6,5","92,5/6",,,"67,5/5,5",65/5,
1 Woche krank,,,,,,,,,,,,,,,,,,,,,,,
30.01.26,,smith,wa:75,"90/4,5","85/4,5",,"97,5/8","97,5/4",lower chest,"72,5/6","70/6,5",normaler griff,35/8,"35/5,5",,,95/8 0rir ,95/5,,,"67,5/7","67,5/4",
02.01.26,,smith,wa:70,"87,5/7","87,5/5,5",,"97,5/8","97,5/6",,"72,5/7",70/7,,"37,5/8","38,75/6,5",,,95/6,90/5,,,,,
05.02.26,,maschine,wa:70,100/8,100/6,,"97,5/6,5","95/5,5",,"72,5/6,5","72,5/6",,"38,75/8","38,75/6,5",,,95/8,95/5,,,"67,5/4,5","65/4,5",
09.02.26,,smith,wa:75,"87,5/6","87,5/4,5",4.,"97,5/8","97,5/6",,"72,5/6,5","72,5/4,5",2.,"38,75/8","38,75/7,5",,3.,85/8,"92,5/7",,,"67,5/7","67,5/4,5",
13.02.26,,smith,wa:75,"87,5/7","87,5/5",,"100/6,5","97,5/5",1 arm seil inc,20/8,25/5,,40/8,"40/4,5",,,95/6,"95/4,5",,,"67,5/8","67,5/5,5",
16.02.26,,neu maschine ,wa:70,100/8,105/5,,100/8,100/5,seil incl,"27,5/7","27,5/5",,40/8,40/5,,,95/8,"97,5/7","97,5/5",,"67,5/8","67,5/5",
20.02.26,,smith,wa:75,"87,5/7,5","87,5/5,5",,"102,5/6",100/5,seil inc,30/7,"27,5/6",Form!!!,"35/4,5","32,5/7,5",,,"97,5/7,5","97,5/6",,,"67,5/8","67,5/7",
23.02.26,,neu,wa:70,105/7,105/5,,"102,5/6,5","100/5,5",seil inc,30/6,"27,5/5",Form!!!,"32,5/7,5","32,5/6,5",,,"97,5/8","97,5/6",,,"67,5/7","67,5/",
28.02.26,,smith,wa:65,"87,5/6","87,5/5,5",,"102,5/7","102,5/4,5",,30/6,"27,5/6",Form!!!,"32,5/7,5","32,5/6,5",,,100/5,"97,5/6",,,"67,5/8 0rir ","67,5/4,5",
15.03.25,,smith,wa:70,85/7,85/5,,"100/7,5","100/4,25",seil inc,"30/6,25","30/4,25",Form!!!,30/8,30/7,,,95/8,95/6,,,"67,5/8 0rir ","67,5/5",
19.03.26,,smith,wa:70,"87,5/6,5","87,5/6",,"102,5/6,5","102,5/4,5",,30/6,"27,5/4,5",Form!!!,"32,5/6,5","32,5/5",,,"97,5/5","95/6,5",,,"67,5/7","67,5/5",
23.03.26,,smith,wa:70,"87,5/7","87,5/5,5",,"102,5/5,5","100/4,5",one arm,30/7,30/5,Form!!!,"35/6,5","35/4,5",,,95/8,95/6,,,"67,5/7","67,5/5",
26.03.26,,smith,wa:70,"87,5/7,25","87,5/5",,"102,5/6","102,5/4,5",,30/5,"27,5/6,5",Form!!!,"35/6,5","32,5/6,5",,,"97,5/6,25","95/5,5",,,"67,5/7","67,5/4",
30.03.26,,normal,wa:60,80/6,"72,5/7,5",,"102,5/6,5","102,5/4,5",,30/6,30/5,Form!!!,35/5,"32,5/7",,,"97,5/8 0rir ",95/5,,,"67,5/8","67,5/5",
04.04.26,,inc fly,"wa:12,5",30/8 0rir,"30/5,75",,"102,5/7,5","102,5/5,5",,,,Form!!!,"35/5,5","35/4,5",,,100/7,100/6,,,"67,5/8","67,5/6",
08.04.26,,smith,wa:70,"87,5/7","87,5/6",,105/5,"102,5/4",,"30/6,5",30/5,Form!!!,35/8,"35/6,5",,,100/8,"100/5,5",,,"70/5,5","67,5/5,5",
13.04.26,,dbs,wa:30,38/6,38/4,,"105/6,5",105/4,,30/7,"30/4,5",Form!!!,"35/6,5","35/5,5",,,100/8 1rir ,100/6,,,"70/6,5",70/4,
18.04.26,,smith,wa:70,"87,5/6,5","87,5/5",,"105/6,5","105/4,5",one arm,30/8,"30/6,5",Form!!!,"37,5/6,5","37,5/4,5",,one arm,"40/5,5",40/,,,,,
22.04.26,,maschine ,wa:70,"105/6,5",105/5,Am seil,"32,5/8","32,5/6,5",,"32,5/5",30/5,Neuer turm,35/8,"35/6,5",,,"102,5/7","102,5/5",,,70/,,
26.04.26,,smith,wa:70,90/5,"87,5/5",,"105/6,5","105/4,5",,"32,5/5","32,5/3,5",,"37,5/5,5","37,5/4,5",,,"102,5/7","102,5/5",,,70/6,70/,
01.05.26,,dbs,wa:30,"38/5,5",38/4,,105/5,"105/3,5",one arm,30/5,30/5,maschine ,"50/7,5","50/6,5",,one arm,"42,5/5","42,5/4",,,70/7,70/4,
04.05.26,,dbs,wa:30,38/6,"38/4,5",,"105/5,5",105/4,one arm,30/6,30/5,maschine ,"52,5/6,5","52,5/5,5",,,"42,5/4",35/6,,,70/8,70/6,
08.05.26,,dbs,wa:30,"38/5,5",38/4,,"105/5,5","105/3,75",one arm ,30/7,30/6,maschine,"52,5/8","52,5/6,5",,,40/7,40/5,,,"72,5/6","72,5/4",
11.05.26,,dbs,wa:30,38/6,38/5,,"105/5,5","105/3,5",one arm,30/8 0rir ,30/6,maschine ,"55/6,5","55/4,5",,,40/7,40/6,,,"72,5/5","72,5/4,5",
